place_feature_id,road_feature_id,road_surface,road_length_in_place_km,road_length_total_km,road_length_share_of_road
175201,3218965,sealed,0.20777636590017345,1.648556447991275,0.12603533603798872
175201,3218968,sealed,1.382206516494955,1.3874600568166726,0.9962135556292907
175201,3218969,sealed,2.1493310380899042,2.3476841519872007,0.915511158632902
175201,3218970,sealed,1.818537490617309,3.754396626926352,0.4843754326793407
175201,3234615,sealed,0.4791310103118892,0.4790648171718226,1.00013817157448
175201,3234691,sealed,0.16307466321255906,0.1631003580319308,0.9998424600676431
175201,3238139,sealed,1.1388279393586165,1.138792627568126,1.0000310080954475
175201,3238140,sealed,0.6606241267336579,0.6606133419319753,1.0000163254372838
175201,3238198,sealed,0.8049620139030149,0.8049359437047027,1.0000323879167232
175201,3258130,sealed,0.21390197473782352,0.4079285135510284,0.5243614202787671
175201,3258162,sealed,0.38057386955058736,0.3805664408131418,1.0000195202115818
175201,3258165,sealed,0.3011981116648451,0.301233380299453,0.9998829192350036
175201,3258167,sealed,0.15733150623234218,0.1573402328593375,0.9999445365826863
175201,3258301,sealed,0.49251586089425947,0.4924907360814599,1.0000510158079308
175201,3258304,sealed,0.03637676584094761,0.516418972112465,0.07044041331817207
175201,3258305,sealed,0.4180963277262844,0.4181437179316506,0.9998866652700162
175201,3265111,sealed,0.5337765671668492,0.5608946031256137,0.9516521717134594
175201,3265117,sealed,0.5096907892423578,0.5096608705501016,1.0000587031376844
175201,3283222,sealed,1.2165166427600078,1.2165855050158425,0.999943397109738
175201,3283264,sealed,0.3692747984957211,0.3691804431921253,1.0002555804494409
175201,3283265,sealed,0.1741727878036298,0.1741460088464537,1.0001537730169843
175201,3283266,sealed,0.1970323516373219,0.1970676050241421,0.9998211101879688
175201,3283267,sealed,0.1534185391019211,0.1534099334540622,1.000056095766846
175201,3283269,sealed,0.17130007624001348,0.1712525051375962,1.0002777833958052
175201,3283271,sealed,0.1629933558463497,0.1630451883498329,0.9996820973129732
175201,3283496,sealed,0.5009155604760136,0.5008953627971497,1.000040323150031
175201,3283497,sealed,0.3969990488419342,0.3970169128739231,0.999955004355206
175201,3314409,sealed,0.0901990929569136,0.0902134254591674,0.9998411267260848
175201,3314410,sealed,0.0889876711634782,0.0889343682266618,1.0005993513855131
175201,3314412,sealed,0.09667792925443368,0.0966557176175123,1.000229801583071
175201,3314415,sealed,0.08474003142829939,0.084792668903739,0.9993792213864695
175201,3314416,sealed,0.048386440732961666,0.0484668827495841,0.9983402684047568
175201,3314889,sealed,0.09387382710005931,0.0938615957612594,1.0001303124957628
175201,3314890,sealed,0.3079138965149305,0.3079605663754837,0.9998484550762377
175201,3314891,sealed,0.1404944522085449,0.1404615622858656,1.0002341560363137
175201,3314892,sealed,0.13948845626994835,0.1394682447889965,1.0001449181566917
175201,6063584,sealed,1.5198624565754548,4.981758813890816,0.30508551564912534
175201,6063750,sealed,0.592331853896675,0.9492933201436664,0.6239713704158703
175201,6063751,sealed,1.1397369731926126,1.1398095928157077,0.9999362879347982
175201,6063753,sealed,0.11345635015517655,0.7776529045399333,0.14589587397258985
175201,6064039,sealed,0.571562279164431,0.5714822925141365,1.0001399634797827
175201,6064040,metalled,0.3904595406387092,0.3904291713262687,1.0000777844348498
175201,6064273,sealed,0.36170406139974204,0.3616228939647927,1.0002244532531097
