geometry_id,layer_type,point1_latitude,point1_longitude,scatter_radius,heatmap_weight,scatter_fill_color_hex,crash_severity,crash_severity_code,crash_year,fatal_count,serious_injury_count,minor_injury_count,pedestrian,bicycle,motorcycle,speed_limit,tooltip_html
crash_60064,scatter,-37.782665,175.253121,25,1.0,#51127cee,Non-Injury Crash,1,2023,0,0,0,,0,0,60,<div><strong>Non-Injury Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 60 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60065,scatter,-37.768482,175.258194,25,1.0,#51127cee,Non-Injury Crash,1,2023,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60066,scatter,-37.817196,175.283365,25,1.0,#51127cee,Non-Injury Crash,1,2025,0,0,0,,0,0,40,<div><strong>Non-Injury Crash</strong><br><span>Year: 2025</span><br><span>Speed limit: 40 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60067,scatter,-37.766994,175.292084,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60068,scatter,-37.807467,175.268929,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,60,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 60 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60069,scatter,-37.792565,175.293093,25,2.0,#b5367aee,Minor Crash,2,2023,0,0,1,,1,0,50,<div><strong>Minor Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 1</span></div>
crash_60070,scatter,-37.788052,175.267645,25,1.0,#51127cee,Non-Injury Crash,1,2024,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60071,scatter,-37.80836,175.287716,25,4.0,#fb8861ee,Serious Crash,3,2024,0,1,0,1,0,0,50,<div><strong>Serious Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 1 | Minor: 0</span></div>
crash_60072,scatter,-37.800797,175.319084,25,1.0,#51127cee,Non-Injury Crash,1,2023,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60073,scatter,-37.794416,175.260547,25,1.0,#51127cee,Non-Injury Crash,1,2021,0,0,0,,0,0,60,<div><strong>Non-Injury Crash</strong><br><span>Year: 2021</span><br><span>Speed limit: 60 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
