geometry_id,layer_type,origin_geometry_id,origin_sa2_code,origin_sa2_name,origin_sa2_reference_name,destination_geometry_id,destination_sa2_code,destination_sa2_name,destination_sa2_reference_name,point1_latitude,point1_longitude,point2_latitude,point2_longitude,people_count,people_count_rank,arc_line_width_m,arc_opacity,arc_count_band,arc_count_band_sort_order,arc_source_color_value,arc_target_color_value,arc_base_color_hex,arc_source_color_rgba,arc_target_color_rgba,count_2023_work_at_home,count_2023_drive_a_private_car_truck_or_van,count_2023_drive_a_company_car_truck_or_van,count_2023_passenger_in_a_car_truck_van_or_company_bus,count_2023_public_bus,count_2023_train,count_2023_bicycle,count_2023_walk_or_jog,count_2023_ferry,count_2023_other,count_2023_total_stated,origin_has_geometry,destination_has_geometry,has_origin_point,has_destination_point,has_both_points,is_same_sa2,arc_is_valid,tooltip_html
sa2_od_176000__176301,arc,sa2_176000,176000,Pukete East,Pukete East,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.74160975614579,175.2444182074411,-37.75883079239065,175.23971391369508,228,11,382,0.749,Very high (200+),5,228,228,#fecf6aff,"rgba(254, 224, 151, 0.539)","rgba(254, 207, 106, 0.749)",,153,36,15,,,6,12,,,228,True,True,True,True,True,False,True,<div><span>Origin SA2: Pukete East (176000)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 228</span></div>
sa2_od_177100__176301,arc,sa2_177100,177100,Nawton West,Nawton West,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.781306887219095,175.23140665409989,-37.75883079239065,175.23971391369508,228,12,382,0.749,Very high (200+),5,228,228,#fecf6aff,"rgba(254, 224, 151, 0.539)","rgba(254, 207, 106, 0.749)",,180,30,,9,,,,,,228,True,True,True,True,True,False,True,<div><span>Origin SA2: Nawton West (177100)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 228</span></div>
sa2_od_178100__176301,arc,sa2_178100,178100,Dinsdale South,Dinsdale South,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.79839006688951,175.2393146050042,-37.75883079239065,175.23971391369508,228,13,382,0.749,Very high (200+),5,228,228,#fecf6aff,"rgba(254, 224, 151, 0.539)","rgba(254, 207, 106, 0.749)",,162,48,,,,6,,,,228,True,True,True,True,True,False,True,<div><span>Origin SA2: Dinsdale South (178100)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 228</span></div>
sa2_od_178800__178901,arc,sa2_178800,178800,Kahikatea,Kahikatea,sa2_178901,178901,Frankton Junction,Frankton Junction,-37.7997674039857,175.25214469589284,-37.79592696152542,175.26300437719928,222,14,380,0.744,Very high (200+),5,222,222,#fed16dff,"rgba(254, 225, 153, 0.536)","rgba(254, 209, 109, 0.744)",,147,30,9,,,9,18,,,222,True,True,True,True,True,False,True,<div><span>Origin SA2: Kahikatea (178800)</span><br><span>Destination SA2: Frankton Junction (178901)</span><br><span>People count: 222</span></div>
sa2_od_176101__176301,arc,sa2_176101,176101,Te Manatu,Te Manatu,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.72632025464198,175.28151309120796,-37.75883079239065,175.23971391369508,219,15,379,0.742,Very high (200+),5,219,219,#fed26eff,"rgba(254, 225, 154, 0.534)","rgba(254, 210, 110, 0.742)",,156,45,6,,,,,,,219,True,True,True,True,True,False,True,<div><span>Origin SA2: Te Manatu (176101)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 219</span></div>
sa2_od_176101__179401,arc,sa2_176101,176101,Te Manatu,Te Manatu,sa2_179401,179401,Hamilton Central,Hamilton Central,-37.72632025464198,175.28151309120796,-37.78937741033796,175.28276636339749,219,16,379,0.742,Very high (200+),5,219,219,#fed26eff,"rgba(254, 225, 154, 0.534)","rgba(254, 210, 110, 0.742)",,189,15,6,9,,,,,,219,True,True,True,True,True,False,True,<div><span>Origin SA2: Te Manatu (176101)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 219</span></div>
sa2_od_177100__178901,arc,sa2_177100,177100,Nawton West,Nawton West,sa2_178901,178901,Frankton Junction,Frankton Junction,-37.781306887219095,175.23140665409989,-37.79592696152542,175.26300437719928,219,17,379,0.742,Very high (200+),5,219,219,#fed26eff,"rgba(254, 225, 154, 0.534)","rgba(254, 210, 110, 0.742)",,156,39,9,,,,,,,219,True,True,True,True,True,False,True,<div><span>Origin SA2: Nawton West (177100)</span><br><span>Destination SA2: Frankton Junction (178901)</span><br><span>People count: 219</span></div>
sa2_od_177400__176301,arc,sa2_177400,177400,Forest Lake (Hamilton City),Forest Lake (Hamilton City),sa2_176301,176301,Te Rapa South,Te Rapa South,-37.77134225585809,175.25290896545297,-37.75883079239065,175.23971391369508,213,18,376,0.738,Very high (200+),5,213,213,#fed571ff,"rgba(254, 227, 155, 0.531)","rgba(254, 213, 113, 0.738)",,147,27,12,,,,9,,,213,True,True,True,True,True,False,True,<div><span>Origin SA2: Forest Lake (Hamilton City) (177400)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 213</span></div>
sa2_od_178000__179401,arc,sa2_178000,178000,Maeroa,Maeroa,sa2_179401,179401,Hamilton Central,Hamilton Central,-37.77834857089125,175.26028849396485,-37.78937741033796,175.28276636339749,210,19,375,0.735,Very high (200+),5,210,210,#fed672ff,"rgba(254, 228, 156, 0.529)","rgba(254, 214, 114, 0.735)",,129,15,18,12,,6,21,,6,210,True,True,True,True,True,False,True,<div><span>Origin SA2: Maeroa (178000)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 210</span></div>
sa2_od_177700__179401,arc,sa2_177700,177700,Miropiko,Miropiko,sa2_179401,179401,Hamilton Central,Hamilton Central,-37.76464732463744,175.27156156051234,-37.78937741033796,175.28276636339749,207,20,373,0.733,Very high (200+),5,207,207,#fed773ff,"rgba(254, 228, 156, 0.528)","rgba(254, 215, 115, 0.733)",,144,9,15,9,,18,15,,,207,True,True,True,True,True,False,True,<div><span>Origin SA2: Miropiko (177700)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 207</span></div>
