geometry_id,layer_type,multi_layer,source_table,feature_label,territorial_authority_name,road_density_km_per_km2,latest_aadt,road_surface,road_length_total_km,road_length_rank,wkp,point1_latitude,point1_longitude,polygon_fill_color_value,polygon_line_color_hex,polygon_line_width_m,polygon_extrude_elevation_m,path_width_m,path_color_value,path_color_hex,point_radius_m,point_fill_color_value,point_line_color_value,point_fill_color_hex,point_line_color_hex,point_line_width_m,tooltip_html
sa2_179901,polygon,Road density area,hamilton_place_polygon,Greensboro,Hamilton City,10.696857189554114,,,4.780245449905234,,@EABuhakmI~coagAdtAl^nQGph@qAfa@o~A`j@auBfMaf@bBoGbCkJvNej@|Lee@HeFmgA}]k}@qZudAu\_dBsVqVqDoy@mLmsAqRgmA_Rb@gCt@U{m@mJiLhDeZ|I|R|Ypz@rxAt_@~o@`qAxyB~H`NjmAptBnDlG|]tn@|FdJv`@rL,,,10.696857189554114,#2f3437cc,50.0,802,,,,,,,,,,<div><strong>Greensboro</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 4.8 km</span><br><span>Road density: 10.70 km/km2</span><br><span>Area: 0.4 km2</span></div>
sa2_178800,polygon,Road density area,hamilton_place_polygon,Kahikatea,Hamilton City,10.565120617761838,,,10.327981731191896,,@EABuf|gmIbtsagA{ZbvD_xBcCuA`ZoBdKcAnb@~@n\pAbZrhCi`@zEg@x@pBr^xv@xp@x{AjlAtlCzc@jdAzm@`sApIzQhHbPjy@bjBljAeQ|sAiSh{GecAzB]|BbEdSb^nqBoZh\~XjAcAbLrJlXtUsAz@drBleBla@yWc{@_r@ep@gm@azAuoA}@w@sRiPynA_gA{d@mk@eNsSiUwQ__Agv@kRsNiIaJ{O_V~BmOpTweApPiz@pCwQ[mHqXm`AHmMgKhA{s@zKvOhj@~F}@rAxHhV_CWxFgBlGWjHiDbHgNzDiIN{C`@wBjCeADKXmkBfYsEn@ac@rGak@pIky@~LtCdK_FzC`B~FwEv@\hAeTbDoLuWebAfOyc@e_BmUwy@sPkm@sd@[tQa_C`F}m@pIidAfBmTc_A}[q`Aa\ao@iTqBpC_GdJ~a@lzA{F|o@`ET,,,10.565120617761838,#2f3437cc,50.0,792,,,,,,,,,,<div><strong>Kahikatea</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 10.3 km</span><br><span>Road density: 10.57 km/km2</span><br><span>Area: 1.0 km2</span></div>
sa2_176700,polygon,Road density area,hamilton_place_polygon,St James,Hamilton City,10.37832754735908,,,7.61693407536768,,@EAB_jfimI|g|}fA}f@pFcgBrRymDz_@uZfD_ZtCgr@hHmIZyh@mAVjNUdUuQbfAy`@xsBuDpR{RvcAsDnRiZz}AyXnvApbCh^jQePhMhDxLyB~@sIdOqI|N_UtHnEmErHoKhVpLtBlFqFhRqBrF~@bG|J|BcMdE}@xC{DtDLzJlCjCkC~AeI~IqTzIxBz@rElOKnQn@jFeHf]mBQaDaFsDZaEjPaBrEyBqNmAwC}C_B_FxF_EzLm@~DiHxLdEnOhMbUjD`t@a`@jOa[vC_Av]rBfv@}OpB{E@uMgYoW|d@wfBgFqt@odAqE}Lm`@xBc@jF?dP}ChLyGdByDNuCu@_HaDkITiDvFsFvC}AtCgAdHcAna@EzAq@xAiCl@uE`@a@cRuMz@qEnZy@vLeRvLea@lM_B`[hFA]fG`C|FOnEw@vD{B`FiHlFu@`N_MrSuAC}Bn]oJtd@c@pYn@vC}[s_AhBkiAbCwbAvB{m@dAyBD}]VmQlA,,,10.37832754735908,#2f3437cc,50.0,778,,,,,,,,,,<div><strong>St James</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 7.6 km</span><br><span>Road density: 10.38 km/km2</span><br><span>Area: 0.7 km2</span></div>
sa2_177100,polygon,Road density area,hamilton_place_polygon,Nawton West,Hamilton City,10.355602315961962,,,11.288239355256065,,@EAB}qefmIzj`agActArxAsc@uTifFkhCwUuLuj@|l@e]h_@yHlHcf@jm@_GpKaBzG]fEoQg@gLxN}RxVu\uNqx@rcAgK`GkCTiz@oSuJ|Lok@~s@yAfDbq@vWzM|D~pCzh@z^hH~wD~s@vOfB~BjOxa@}HfBxBloGirCvJiEh]mOuUgZtO{G~y@m^nhAsf@x_@uPjkBoy@rxAwo@eByBjAg@uAcB}Fa`BcF}vA??mC_v@oDybAwAg`@sBel@cEqjAIwEkt@g_@}a@kOy_D}jAeFxAqFlGqm@rj@iKjNsItNwH~O_G`PcG`VoEp]kAvYAlRfC`XpUfkAun@nHuVrAsU^\~YbAdKvEtMhGzIxJbIlLvFtg@fQtPrIdHjEfQxQnG`KfEzK`ClL~AvROxN{AbMsC|K_GnMi_@he@,,,10.355602315961962,#2f3437cc,50.0,777,,,,,,,,,,<div><strong>Nawton West</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 11.3 km</span><br><span>Road density: 10.36 km/km2</span><br><span>Area: 1.1 km2</span></div>
sa2_175301,polygon,Road density area,hamilton_place_polygon,Flagstaff North West,Hamilton City,10.289993080920107,,,9.679205022419254,,@EAB}m}fmIxsg}fA{Zj@wWa@sKm@_AnT~@xHrCjHpMjOvDlHjOdb@t^rc@fPdI`GlElBvCv@lE]rYlI`cAhSnAfIH|Ky@bSiFlCoAtJ~GtCdEbKjKfMnK`JtCrEp@pE`@uf@fp@GfKXzQ|ApC`Bd@xBeFjEkEdAoCzJyK~I{H|BuFpAsNjBeBhB[pGn@zIvDp\tIxHx@|J_A`PyF|KgFhIa@lJd@n{@rKhZwWln@ra@dQeCvXc@rFkBzSqEdZgWrKiPlGoQdSsMx`@}Rzo@_Xn_@mh@vN{f@|K{RlOsa@fL{ZjV}D~Fv@H]~OmWhHqHnVmQfOyFbn@eKio@qOeM}GgdFawBgj@uUcvAkb@nCiEwFX{tAvDum@bBas@nBgeBzEkVp@kdBnE_{AlDd@pKlDd^rAtFzDjHlLvKdO|J`ZrMjRtGzGrDxErF`BhHQvHsE~PIzEp@tH`EpL{J~@yo@fLoTpCaMz@,,,10.289993080920107,#2f3437cc,50.0,772,,,,,,,,,,<div><strong>Flagstaff North West</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 9.7 km</span><br><span>Road density: 10.29 km/km2</span><br><span>Area: 0.9 km2</span></div>
sa2_179401,polygon,Road density area,hamilton_place_polygon,Hamilton Central,Hamilton City,10.171694579904363,,,10.404098067967693,,@EAB}b|imIzztagAqC`PhfAvh@d]lRlHcDbMwMfk@yl@lTbKsXd`@frBhdAzu@ww@pTpMbVzPxHpRg@pPiAxEaHrJlLpCdI`CQ\vgA`[xAWri@nOvOiZ|m@nPfu@vTrF}k@~AqY]uiAa@mGgEk`@iBgIMe@gFiN}D}F_RcQvSo`@zEcFli@oShKwDnCaAxIeGvI}H~FiHz`BsdBd@_F~f@}i@tb@}e@jOyP~bBymBeiC{lAsk@wYcXyL{fAsh@qi@_XmyAqt@AJiAzDcIhOcl@x`AqWjh@mMxS{@dAyJdLkBbDmCfBy]x`@_BbBcOvTmG`HsDpI_MhRmJjMaHnGwDnBw^x\aKfFmBpCgLfHer@ne@uIhHsAlA_VnSsP~PkUrSuAfCaElC}GzGi_@n`@wQlOs@bEsV`UiZtZyBzBwUtV}KjPaKvSuHpV,,,10.171694579904363,#2f3437cc,50.0,763,,,,,,,,,,<div><strong>Hamilton Central</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 10.4 km</span><br><span>Road density: 10.17 km/km2</span><br><span>Area: 1.0 km2</span></div>
sa2_180000,polygon,Road density area,hamilton_place_polygon,Hamilton East Cook,Hamilton City,10.14054420480428,,,7.438945644587476,,@EABcjzjmI`kiagAaj@`uBga@n~A}]zrAi}@pjDr{B`[~fGly@lhDze@hDeQvLsc@dRmr@pHwXv@cFjOij@~EoRpMgg@fHoWv[qnAjByHdDgNufBgW|y@w|@tEsq@x@uL_oDof@}~Bi\cD[{DPyHjAwI}LsIeEqCsDgtByZcBnGgM`f@,,,10.14054420480428,#2f3437cc,50.0,761,,,,,,,,,,<div><strong>Hamilton East Cook</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 7.4 km</span><br><span>Road density: 10.14 km/km2</span><br><span>Area: 0.7 km2</span></div>
sa2_178202,polygon,Road density area,hamilton_place_polygon,Fairfield South (Hamilton City),Hamilton City,10.05528909198988,,,6.6421573583282205,,@EABur|imIv}f`gAu`@~bAcJxUqNv_@_KxY}@t@kZfW}i@tf@dR|ElcDpd@f~@rMfnHbdA|Qaa@vSkd@lEeKxQjCwD`PzRpCyDfIrv@xKnMsM~UDlRnH|Ryb@nt@hKd{@xLdFsTlAgFhMej@vLeZjImGbJ}Dx~Amr@|M}Ym~AcUwJfL{vEaq@kHjOedAsX_^}G_\{Ea]oDyFk@uE{AuOmIwKaKcQ}TgZuXuLsFyGyAg\uEk\wEue@iHeKwD_IsFoDqDyB_EcNab@aE_GuHyF}H_DgFmAwi@{EuSlmAqBzF_j@|wA{AxDs@`B,,,10.05528909198988,#2f3437cc,50.0,754,,,,,,,,,,<div><strong>Fairfield South (Hamilton City)</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 6.6 km</span><br><span>Road density: 10.06 km/km2</span><br><span>Area: 0.7 km2</span></div>
sa2_177000,polygon,Road density area,hamilton_place_polygon,Western Heights (Hamilton City),Hamilton City,10.021608949595773,,,10.738366146953334,,@EAB}{yemIls_agAsxAvo@kkBny@y_@tPohArf@_z@l^uOzGtUfZi]lOwJhEmoGhrCfH`f@`SxqAzE_@x^lcCyCLj@fK`BtXxB`JlDhl@hBGtm@vGrZlYxCzOze@gMyGcN`WyGjc@x_@vH|KnMjRkBx@xNtzAhB~Qt^KbZsD~nAk\sWyzA{HgqAid@qtH}IexAp_AyS|]qPxuB`GtbBoo@}BsPnq@}r@bE_Gtm@tHxkBrUrLgz@}Cs^wZ{i@zQ_Alb@yBq@cTxQoNlw@~CnWrUd\oO~T{dAkeBguAd^oe@vm@yx@~G{EiCgPqbAu`AiAwK~MwV_iEiu@qpC{vAHvEbEpjArBdl@vAf`@nDxbAlC~u@??bF|vA|F``BtAbBkAf@dBxB,,,10.021608949595773,#2f3437cc,50.0,752,,,,,,,,,,<div><strong>Western Heights (Hamilton City)</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 10.7 km</span><br><span>Road density: 10.02 km/km2</span><br><span>Area: 1.1 km2</span></div>
sa2_177300,polygon,Road density area,hamilton_place_polygon,Chartwell,Hamilton City,9.990430162677116,,,8.959241238987865,,@EABc|dimIlor_gAnsBpYfJvB_EaIv_@yEz[gAdCnE`DaAxHa@lG]~JPtLjFbTGrNuBbo@gOmD_MhOsWvHeFbQiOjDwCrGwFl}@wh@bLwGpd@oO|EgfBvCabAiNqB_lBcXip@gJgiAqO|DeF|Tee@fh@afAjVag@nCsI|CsPx@qJAmPoBwT_BmHeGuQiIsOmEgGoM}MoXoPyVsJsXwGe[{DkViQitBpbByFvEgNpK}^`Y_`Alz@wp@~kAqj@`cAuB`EoPb[sp@fmA}Zbk@ok@bfAaBzHmBrIlIli@lA`Jl`B|OjmChd@nq@dLeD~L,,,9.990430162677116,#2f3437cc,50.0,749,,,,,,,,,,<div><strong>Chartwell</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 9.0 km</span><br><span>Road density: 9.99 km/km2</span><br><span>Area: 0.9 km2</span></div>
