place_feature_id,road_surface,road_length_km,place_area_km2,road_density_km_per_km2
181301,metalled,0.7359397126946385,6.932856650000001,0.10615244910546917
181301,sealed,13.249770425912127,6.932856650000001,1.911155977227962
181301,unmetalled,3.87382842708198,6.932856650000001,0.5587636702515665
181200,metalled,0.2775195292768302,1.7394653800000002,0.15954300238894675
181200,sealed,11.521900032433598,1.7394653800000002,6.623816814585638
181200,unmetalled,0.16287110362783067,1.7394653800000002,0.09363285150741583
181101,metalled,0.12525326707717563,1.4894465699999997,0.08409383028568501
181101,sealed,12.375154111452293,1.4894465699999997,8.30855860203988
181101,unmetalled,0.0,1.4894465699999997,0.0
181000,metalled,0.0,1.12136603,0.0
181000,sealed,9.796033227348211,1.12136603,8.735803444436614
181000,unmetalled,0.0,1.12136603,0.0
180900,metalled,0.0,0.8946026300000001,0.0
180900,sealed,6.384362653338932,0.8946026300000001,7.1365346347561385
180900,unmetalled,0.0,0.8946026300000001,0.0
180800,metalled,0.0,0.8022218299999999,0.0
180800,sealed,6.877848165994661,0.8022218299999999,8.573499135513005
180800,unmetalled,0.0,0.8022218299999999,0.0
180700,metalled,0.0,1.01716801,0.0
180700,sealed,8.134460931994305,1.01716801,7.9971655144702245
180700,unmetalled,0.0,1.01716801,0.0
180601,metalled,0.0,0.8900317,0.0
180601,sealed,8.453584746453368,0.8900317,9.498071525377544
180601,unmetalled,0.09211879818440678,0.8900317,0.10350058114155573
180500,metalled,0.0,1.0960052,0.0
180500,sealed,8.485363527109026,1.0960052,7.742083273974454
180500,unmetalled,0.0,1.0960052,0.0
180400,metalled,0.0,0.67020491,0.0
180400,sealed,6.196390167019658,0.67020491,9.245515922913274
180400,unmetalled,0.0,0.67020491,0.0
180300,metalled,0.273558177322226,0.98998375,0.27632592688741203
180300,sealed,7.216843303762717,0.98998375,7.2898603676703955
180300,unmetalled,0.0,0.98998375,0.0
180200,metalled,0.0,2.22122213,0.0
180200,sealed,17.08881487698035,2.22122213,7.693429056994111
180200,unmetalled,1.0976208144395085,2.22122213,0.4941517552949594
180100,metalled,0.0,0.68833492,0.0
180100,sealed,5.619973322378962,0.68833492,8.164591333502246
180100,unmetalled,0.0,0.68833492,0.0
180000,metalled,0.0,0.7335844599999999,0.0
180000,sealed,7.438945644587476,0.7335844599999999,10.14054420480428
180000,unmetalled,0.0,0.7335844599999999,0.0
179901,metalled,0.0,0.44688317,0.0
179901,sealed,4.780245449905234,0.44688317,10.696857189554114
179901,unmetalled,0.0,0.44688317,0.0
179801,metalled,0.0,0.39945882,0.0
179801,sealed,3.7415017172673686,0.39945882,9.366426600036942
179801,unmetalled,0.0,0.39945882,0.0
179700,metalled,0.0,1.32122464,0.0
179700,sealed,8.990514673086917,1.32122464,6.80468286837802
179700,unmetalled,0.0,1.32122464,0.0
179600,metalled,0.0,1.43571286,0.0
179600,sealed,13.452743849677695,1.43571286,9.370079647874503
179600,unmetalled,0.0,1.43571286,0.0
179502,metalled,0.0,1.46724421,0.0
179502,sealed,9.231056034717321,1.46724421,6.291424407609229
179502,unmetalled,0.0,1.46724421,0.0
179501,metalled,0.0,1.54096831,0.0
179501,sealed,10.103576932374315,1.54096831,6.556641604378169
179501,unmetalled,0.0,1.54096831,0.0
179401,metalled,0.0,1.02284806,0.0
179401,sealed,10.404098067967693,1.02284806,10.171694579904363
179401,unmetalled,0.0,1.02284806,0.0
