geometry_id,layer_type,road_feature_id,road_surface,road_name,road_length_total_km,road_length_rank,path_width_m,path_color_value,path_color_hex,wkp,tooltip_html
road_3258041,path,3258041,sealed,BEATTY STREET,0.5034600230154785,425,34,#1464a5cc,#1464a5cc,@EAAegsimI`qtbgAxi@xB|HDhPy@dK{ApJC|Gb@zF~@fr@zRnInArLXb_@oB|HFjIZ|JbB`wAla@,<div><strong>BEATTY STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.50 km</span><br><span>Length rank: 425</span></div>
road_7742407,path,7742407,sealed,TREWERN AVENUE,0.5033187908296786,426,34,#1464a5cc,#1464a5cc,@EAAugljmIfbe_gA~\mmA`FoQa@uCqD{C{`@mG}b@_HqAG[Gs@Bw@P_@Vg@p@Yr@{U|w@}Ntg@,<div><strong>TREWERN AVENUE</strong><br><span>Surface: sealed</span><br><span>Length: 0.50 km</span><br><span>Length rank: 426</span></div>
road_3234565,path,3234565,sealed,COMMERCE STREET,0.5027977353734516,427,34,#1464a5cc,#1464a5cc,@EAAwxhhmIt{kagAgj@wb@_m@oe@gsCy|BkCmF,<div><strong>COMMERCE STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.50 km</span><br><span>Length rank: 427</span></div>
road_3283496,path,3283496,sealed,,0.5008953627971497,428,34,#1464a5cc,#1464a5cc,@EAAktzdmIdxo|fAnFjAlEz@dC`AhCnAbBxApA~Az@vBf@tBj@lEzB`ShC`UfDxYbBzNrB`XvA|ZT`Q@nLBrdA,<div><strong>Road 3283496</strong><br><span>Surface: sealed</span><br><span>Length: 0.50 km</span><br><span>Length rank: 428</span></div>
road_3283387,path,3283387,sealed,SEFTON CRESCENT,0.500676012079403,429,34,#1464a5cc,#1464a5cc,@EAA}obimIzxo_gAmZiDcEw@uEsAaD_BkDyDcBiDa@gDB}Db@cEnSkv@|@kBbBiBjDyAzCg@jDOpCZzXhEpBf@dC`B`BzA~@rCHpCs@zDo\hmA,<div><strong>SEFTON CRESCENT</strong><br><span>Surface: sealed</span><br><span>Length: 0.50 km</span><br><span>Length rank: 429</span></div>
road_3258169,path,3258169,sealed,RESOLUTION DRIVE,0.4971662199516388,430,34,#1464a5cc,#1464a5cc,@EAAghzgmIlvu}fAwf@reAs\lu@ib@vdAa[h_A,<div><strong>RESOLUTION DRIVE</strong><br><span>Surface: sealed</span><br><span>Length: 0.50 km</span><br><span>Length rank: 430</span></div>
road_3258146,path,3258146,sealed,FORSYTH STREET,0.4971014946529141,431,34,#1464a5cc,#1464a5cc,@EAAiprgmIb~q_gA}DxEaCdCe_@x\iCzCuDfEcQ~VsChEsLdRcBnBwAtAwZ~TiyAt{A,<div><strong>FORSYTH STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.50 km</span><br><span>Length rank: 431</span></div>
road_3258126,path,3258126,sealed,CRAWSHAW DRIVE,0.4954821364735361,432,34,#1464a5cc,#1464a5cc,@EAA}lffmIfiq`gAsc@_FmImBiBs@gFqBgImFmE{DaGyIeD{EkCyDmJ_IsLcIwPgHmNqEgZuEIAsESsPq@gCDuKToJRiWhDoWbH{Q`J,<div><strong>CRAWSHAW DRIVE</strong><br><span>Surface: sealed</span><br><span>Length: 0.50 km</span><br><span>Length rank: 432</span></div>
road_3258138,path,3258138,sealed,,0.4942248861422806,433,34,#1464a5cc,#1464a5cc,@EAAgiwfmIjt``gAwBgN}BiM{F}[M{Gxj@quBdAwDhEiRtDaNOcD}C_DqE_Bs^oH,<div><strong>Road 3258138</strong><br><span>Surface: sealed</span><br><span>Length: 0.49 km</span><br><span>Length rank: 433</span></div>
road_3258252,path,3258252,sealed,NORTH RIDGE DRIVE,0.4941523231311635,434,34,#1464a5cc,#1464a5cc,@EAA_d~hmIj`n}fA~n@eQ|GaBlScFtUwDxTaBlPoBfH}BrEsCrFwENMjC{DjDoHd@wGgAqOCUoEyNoDaJqOw^uLgY,<div><strong>NORTH RIDGE DRIVE</strong><br><span>Surface: sealed</span><br><span>Length: 0.49 km</span><br><span>Length rank: 434</span></div>
