geometry_id,layer_type,place_feature_id,place_name,place_type,territorial_authority_name,place_area_m2,place_area_km2,road_length_total_km,road_density_km_per_km2,place_road_density_rank,label_lon,label_lat,polygon_line_width_m,polygon_line_color_hex,polygon_fill_color_value,polygon_extrude_elevation_m,wkp,tooltip_html
sa2_179901,polygon,179901,Greensboro,SA2,Hamilton City,446883.17,0.44688317,4.780245449905234,10.696857189554114,11,175.3095066867033,-37.78596498244055,50,#2f3437cc,10.696857189554114,802,@EABuhakmI~coagAdtAl^nQGph@qAfa@o~A`j@auBfMaf@bBoGbCkJvNej@|Lee@HeFmgA}]k}@qZudAu\_dBsVqVqDoy@mLmsAqRgmA_Rb@gCt@U{m@mJiLhDeZ|I|R|Ypz@rxAt_@~o@`qAxyB~H`NjmAptBnDlG|]tn@|FdJv`@rL,<div><strong>Greensboro</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 4.8 km</span><br><span>Road density: 10.70 km/km2</span><br><span>Area: 0.4 km2</span></div>
sa2_178800,polygon,178800,Kahikatea,SA2,Hamilton City,977554.55,0.97755455,10.327981731191896,10.565120617761838,12,175.250342501447,-37.79825308318935,50,#2f3437cc,10.565120617761838,792,@EABuf|gmIbtsagA{ZbvD_xBcCuA`ZoBdKcAnb@~@n\pAbZrhCi`@zEg@x@pBr^xv@xp@x{AjlAtlCzc@jdAzm@`sApIzQhHbPjy@bjBljAeQ|sAiSh{GecAzB]|BbEdSb^nqBoZh\~XjAcAbLrJlXtUsAz@drBleBla@yWc{@_r@ep@gm@azAuoA}@w@sRiPynA_gA{d@mk@eNsSiUwQ__Agv@kRsNiIaJ{O_V~BmOpTweApPiz@pCwQ[mHqXm`AHmMgKhA{s@zKvOhj@~F}@rAxHhV_CWxFgBlGWjHiDbHgNzDiIN{C`@wBjCeADKXmkBfYsEn@ac@rGak@pIky@~LtCdK_FzC`B~FwEv@\hAeTbDoLuWebAfOyc@e_BmUwy@sPkm@sd@[tQa_C`F}m@pIidAfBmTc_A}[q`Aa\ao@iTqBpC_GdJ~a@lzA{F|o@`ET,<div><strong>Kahikatea</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 10.3 km</span><br><span>Road density: 10.57 km/km2</span><br><span>Area: 1.0 km2</span></div>
sa2_176700,polygon,176700,St James,SA2,Hamilton City,733926.93,0.7339269300000001,7.61693407536768,10.37832754735908,13,175.2838341669417,-37.73596749072245,50,#2f3437cc,10.37832754735908,778,@EAB_jfimI|g|}fA}f@pFcgBrRymDz_@uZfD_ZtCgr@hHmIZyh@mAVjNUdUuQbfAy`@xsBuDpR{RvcAsDnRiZz}AyXnvApbCh^jQePhMhDxLyB~@sIdOqI|N_UtHnEmErHoKhVpLtBlFqFhRqBrF~@bG|J|BcMdE}@xC{DtDLzJlCjCkC~AeI~IqTzIxBz@rElOKnQn@jFeHf]mBQaDaFsDZaEjPaBrEyBqNmAwC}C_B_FxF_EzLm@~DiHxLdEnOhMbUjD`t@a`@jOa[vC_Av]rBfv@}OpB{E@uMgYoW|d@wfBgFqt@odAqE}Lm`@xBc@jF?dP}ChLyGdByDNuCu@_HaDkITiDvFsFvC}AtCgAdHcAna@EzAq@xAiCl@uE`@a@cRuMz@qEnZy@vLeRvLea@lM_B`[hFA]fG`C|FOnEw@vD{B`FiHlFu@`N_MrSuAC}Bn]oJtd@c@pYn@vC}[s_AhBkiAbCwbAvB{m@dAyBD}]VmQlA,<div><strong>St James</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 7.6 km</span><br><span>Road density: 10.38 km/km2</span><br><span>Area: 0.7 km2</span></div>
sa2_177100,polygon,177100,Nawton West,SA2,Hamilton City,1090061.11,1.09006111,11.288239355256065,10.355602315961962,14,175.22700351232828,-37.780252698855406,50,#2f3437cc,10.355602315961962,777,@EAB}qefmIzj`agActArxAsc@uTifFkhCwUuLuj@|l@e]h_@yHlHcf@jm@_GpKaBzG]fEoQg@gLxN}RxVu\uNqx@rcAgK`GkCTiz@oSuJ|Lok@~s@yAfDbq@vWzM|D~pCzh@z^hH~wD~s@vOfB~BjOxa@}HfBxBloGirCvJiEh]mOuUgZtO{G~y@m^nhAsf@x_@uPjkBoy@rxAwo@eByBjAg@uAcB}Fa`BcF}vA??mC_v@oDybAwAg`@sBel@cEqjAIwEkt@g_@}a@kOy_D}jAeFxAqFlGqm@rj@iKjNsItNwH~O_G`PcG`VoEp]kAvYAlRfC`XpUfkAun@nHuVrAsU^\~YbAdKvEtMhGzIxJbIlLvFtg@fQtPrIdHjEfQxQnG`KfEzK`ClL~AvROxN{AbMsC|K_GnMi_@he@,<div><strong>Nawton West</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 11.3 km</span><br><span>Road density: 10.36 km/km2</span><br><span>Area: 1.1 km2</span></div>
sa2_175301,polygon,175301,Flagstaff North West,SA2,Hamilton City,940642.52,0.94064252,9.679205022419254,10.289993080920107,15,175.23672410975178,-37.72148701083225,50,#2f3437cc,10.289993080920107,772,@EAB}m}fmIxsg}fA{Zj@wWa@sKm@_AnT~@xHrCjHpMjOvDlHjOdb@t^rc@fPdI`GlElBvCv@lE]rYlI`cAhSnAfIH|Ky@bSiFlCoAtJ~GtCdEbKjKfMnK`JtCrEp@pE`@uf@fp@GfKXzQ|ApC`Bd@xBeFjEkEdAoCzJyK~I{H|BuFpAsNjBeBhB[pGn@zIvDp\tIxHx@|J_A`PyF|KgFhIa@lJd@n{@rKhZwWln@ra@dQeCvXc@rFkBzSqEdZgWrKiPlGoQdSsMx`@}Rzo@_Xn_@mh@vN{f@|K{RlOsa@fL{ZjV}D~Fv@H]~OmWhHqHnVmQfOyFbn@eKio@qOeM}GgdFawBgj@uUcvAkb@nCiEwFX{tAvDum@bBas@nBgeBzEkVp@kdBnE_{AlDd@pKlDd^rAtFzDjHlLvKdO|J`ZrMjRtGzGrDxErF`BhHQvHsE~PIzEp@tH`EpL{J~@yo@fLoTpCaMz@,<div><strong>Flagstaff North West</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 9.7 km</span><br><span>Road density: 10.29 km/km2</span><br><span>Area: 0.9 km2</span></div>
sa2_179401,polygon,179401,Hamilton Central,SA2,Hamilton City,1022848.06,1.02284806,10.404098067967693,10.171694579904363,16,175.28280080228947,-37.78905939078725,50,#2f3437cc,10.171694579904363,763,@EAB}b|imIzztagAqC`PhfAvh@d]lRlHcDbMwMfk@yl@lTbKsXd`@frBhdAzu@ww@pTpMbVzPxHpRg@pPiAxEaHrJlLpCdI`CQ\vgA`[xAWri@nOvOiZ|m@nPfu@vTrF}k@~AqY]uiAa@mGgEk`@iBgIMe@gFiN}D}F_RcQvSo`@zEcFli@oShKwDnCaAxIeGvI}H~FiHz`BsdBd@_F~f@}i@tb@}e@jOyP~bBymBeiC{lAsk@wYcXyL{fAsh@qi@_XmyAqt@AJiAzDcIhOcl@x`AqWjh@mMxS{@dAyJdLkBbDmCfBy]x`@_BbBcOvTmG`HsDpI_MhRmJjMaHnGwDnBw^x\aKfFmBpCgLfHer@ne@uIhHsAlA_VnSsP~PkUrSuAfCaElC}GzGi_@n`@wQlOs@bEsV`UiZtZyBzBwUtV}KjPaKvSuHpV,<div><strong>Hamilton Central</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 10.4 km</span><br><span>Road density: 10.17 km/km2</span><br><span>Area: 1.0 km2</span></div>
sa2_180000,polygon,180000,Hamilton East Cook,SA2,Hamilton City,733584.46,0.7335844599999999,7.438945644587476,10.14054420480428,17,175.30317849472067,-37.79118157399495,50,#2f3437cc,10.14054420480428,761,@EABcjzjmI`kiagAaj@`uBga@n~A}]zrAi}@pjDr{B`[~fGly@lhDze@hDeQvLsc@dRmr@pHwXv@cFjOij@~EoRpMgg@fHoWv[qnAjByHdDgNufBgW|y@w|@tEsq@x@uL_oDof@}~Bi\cD[{DPyHjAwI}LsIeEqCsDgtByZcBnGgM`f@,<div><strong>Hamilton East Cook</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 7.4 km</span><br><span>Road density: 10.14 km/km2</span><br><span>Area: 0.7 km2</span></div>
sa2_178202,polygon,178202,Fairfield South (Hamilton City),SA2,Hamilton City,660563.54,0.66056354,6.6421573583282205,10.05528909198988,18,175.28586897801586,-37.7703874406437,50,#2f3437cc,10.05528909198988,754,@EABur|imIv}f`gAu`@~bAcJxUqNv_@_KxY}@t@kZfW}i@tf@dR|ElcDpd@f~@rMfnHbdA|Qaa@vSkd@lEeKxQjCwD`PzRpCyDfIrv@xKnMsM~UDlRnH|Ryb@nt@hKd{@xLdFsTlAgFhMej@vLeZjImGbJ}Dx~Amr@|M}Ym~AcUwJfL{vEaq@kHjOedAsX_^}G_\{Ea]oDyFk@uE{AuOmIwKaKcQ}TgZuXuLsFyGyAg\uEk\wEue@iHeKwD_IsFoDqDyB_EcNab@aE_GuHyF}H_DgFmAwi@{EuSlmAqBzF_j@|wA{AxDs@`B,<div><strong>Fairfield South (Hamilton City)</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 6.6 km</span><br><span>Road density: 10.06 km/km2</span><br><span>Area: 0.7 km2</span></div>
sa2_177000,polygon,177000,Western Heights (Hamilton City),SA2,Hamilton City,1071521.17,1.07152117,10.738366146953334,10.021608949595773,19,175.22727299821236,-37.78558279028195,50,#2f3437cc,10.021608949595773,752,@EAB}{yemIls_agAsxAvo@kkBny@y_@tPohArf@_z@l^uOzGtUfZi]lOwJhEmoGhrCfH`f@`SxqAzE_@x^lcCyCLj@fK`BtXxB`JlDhl@hBGtm@vGrZlYxCzOze@gMyGcN`WyGjc@x_@vH|KnMjRkBx@xNtzAhB~Qt^KbZsD~nAk\sWyzA{HgqAid@qtH}IexAp_AyS|]qPxuB`GtbBoo@}BsPnq@}r@bE_Gtm@tHxkBrUrLgz@}Cs^wZ{i@zQ_Alb@yBq@cTxQoNlw@~CnWrUd\oO~T{dAkeBguAd^oe@vm@yx@~G{EiCgPqbAu`AiAwK~MwV_iEiu@qpC{vAHvEbEpjArBdl@vAf`@nDxbAlC~u@??bF|vA|F``BtAbBkAf@dBxB,<div><strong>Western Heights (Hamilton City)</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 10.7 km</span><br><span>Road density: 10.02 km/km2</span><br><span>Area: 1.1 km2</span></div>
sa2_177300,polygon,177300,Chartwell,SA2,Hamilton City,896782.33,0.8967823300000001,8.959241238987865,9.990430162677116,20,175.27805828368201,-37.7529863237466,50,#2f3437cc,9.990430162677116,749,@EABc|dimIlor_gAnsBpYfJvB_EaIv_@yEz[gAdCnE`DaAxHa@lG]~JPtLjFbTGrNuBbo@gOmD_MhOsWvHeFbQiOjDwCrGwFl}@wh@bLwGpd@oO|EgfBvCabAiNqB_lBcXip@gJgiAqO|DeF|Tee@fh@afAjVag@nCsI|CsPx@qJAmPoBwT_BmHeGuQiIsOmEgGoM}MoXoPyVsJsXwGe[{DkViQitBpbByFvEgNpK}^`Y_`Alz@wp@~kAqj@`cAuB`EoPb[sp@fmA}Zbk@ok@bfAaBzHmBrIlIli@lA`Jl`B|OjmChd@nq@dLeD~L,<div><strong>Chartwell</strong><br><span>Type: SA2</span><br><span>Territorial authority: Hamilton City</span><br><span>Road length: 9.0 km</span><br><span>Road density: 9.99 km/km2</span><br><span>Area: 0.9 km2</span></div>
